timestep,frequency,period,aIndex,aName,x,y,z,scalar,i,j,k,dXB,dYB,dZB,dRoll,dPitch,dYaw
2368,9.929791001808729,236.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998180568218,0.284182429314,8.76327788113e-10,4.48860726365e-09,0.958770275116,1.0381196347e-08,1.85229840355e-08,0.000163485936355,6.30172891647e-08,4.43450183241e-08,1.04719102383
2369,9.902128543637978,236.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998164355755,0.23259653151,-7.54751428023e-10,3.22994408997e-09,0.972573339939,8.11876432749e-09,1.07800977034e-08,0.000151970336447,-3.9617070513e-08,2.45105056251e-08,1.04719257355
2370,9.92718227153633,237.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998150110245,0.181892350316,-2.13878714739e-09,1.56532897755e-09,0.983318448067,9.80443193299e-09,5.54680390508e-09,0.000140808086144,-4.17921732776e-08,2.05441779144e-08,1.04719257355
2371,9.931977750572456,237.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998135924339,0.129142343998,-3.37040839682e-09,-2.92761148657e-10,0.991626083851,1.49737289235e-08,3.31456218028e-09,0.000130197950057,-4.36240696899e-08,1.62555426897e-08,1.04719257355
2372,9.92542039178195,237.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998123943806,0.0775899738073,-4.35571356761e-09,-2.20134932505e-09,0.996985375881,2.26352359078e-08,4.82213069475e-09,0.000120271652122,-4.49877930464e-08,1.19368133156e-08,1.04719257355
2373,9.934188991707899,237.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998111784458,0.0242588557303,-1.41541334209e-09,-1.65531033325e-09,0.999705731869,2.88763910561e-08,8.92370710659e-09,0.000110871733341,2.74390714594e-08,1.29434516438e-08,1.04719257355
2374,9.91242531951902,237.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998101294041,-0.029141465202,3.07631298213e-09,1.00687058691e-09,0.999575316906,2.8361119675e-08,9.48277989465e-09,0.000101789366454,2.91763768701e-09,1.25460850597e-08,1.04719257355
2375,9.911254153020185,237.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998091459274,-0.0808931738138,-3.45840328597e-10,2.05012762322e-09,0.996722817421,2.65905608643e-08,9.33994481755e-09,9.40545724006e-05,-1.83018087796e-07,9.71452873699e-09,1.04719257355
2376,9.937696062171256,237.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998082220554,-0.133984401822,1.20967114103e-09,5.12211550951e-10,0.990983426571,2.60973607169e-08,7.05251412825e-09,8.57805061969e-05,5.25517158678e-08,1.11762396671e-07,1.04719257355
2377,9.921781154713214,237.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998074352741,-0.185150340199,4.55817872336e-09,3.43624528831e-09,0.982710242271,2.16975468703e-08,2.64153565688e-09,7.91171696619e-05,5.28629691132e-08,-1.1202541117e-08,1.04719257355
2378,9.894840146453781,237.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.99806624651,-0.237344920635,3.31252469898e-09,6.82744083491e-10,0.97142547369,1.79931411992e-08,-4.97588503734e-09,7.23336488591e-05,3.57577576438e-08,7.32780662815e-08,1.04719257355
