timestep,frequency,period,aIndex,aName,x,y,z,scalar,i,j,k,dXB,dYB,dZB,dRoll,dPitch,dYaw
69,19.75817073515418,3.0,7,move_left,0.686013519764,-1.1882083416,-9.89481067657,0.257871836424,-0.0221054516733,0.0824990645051,-0.962396681309,-0.346413940191,0.600012600422,-0.0273533668369,0.118706129491,-7.78349317443e-07,8.96329410693e-09
70,19.583719703230567,3.0,7,move_left,0.668447971344,-1.1577835083,-9.89581203461,0.257933825254,-0.0213708300143,0.0797573924065,-0.962627768517,-0.385291993618,0.667351722717,-0.0147852012888,0.113777197897,8.06208845461e-07,1.21535581599e-08
71,19.75286687796401,3.0,7,move_left,0.647771120071,-1.12196934223,-9.89628314972,0.257995277643,-0.0206154119223,0.076938085258,-0.962857186794,-0.425345897675,0.736727416515,-0.00403941236436,0.110220991075,-1.01728255686e-06,1.69654299498e-08
72,19.51801353225311,3.0,7,move_left,0.625084519386,-1.08267450333,-9.89626598358,0.258052498102,-0.0198872555047,0.0742205828428,-0.963070571423,-0.464113920927,0.803875923157,0.00436745490879,0.106519840658,5.56181646516e-07,1.29104620328e-08
73,19.600925298502233,3.0,7,move_left,0.600453197956,-1.04001140594,-9.89587306976,0.25810572505,-0.0191839057952,0.0715956315398,-0.963269174099,-0.501610040665,0.868821382523,0.0107626765966,0.102802708745,-8.86846862613e-08,8.66584937143e-09
74,19.218944455136135,3.0,7,move_left,0.573941528797,-0.994091749191,-9.8951997757,0.258155375719,-0.0185044407845,0.0690597742796,-0.96345436573,-0.537851631641,0.931594073772,0.0154330646619,0.0992641597986,-7.44691419641e-07,5.78424197428e-09
75,19.646924359670983,3.0,7,move_left,0.543891429901,-0.942043304443,-9.89426898956,0.258204132318,-0.0178110413253,0.0664719492197,-0.963636279106,-0.574881196022,0.995731532574,0.0187756996602,0.0964120402932,-1.88692354186e-07,8.02195732064e-09
76,19.720547095026966,3.0,7,move_left,0.513707280159,-0.889762461185,-9.89325904846,0.258246898651,-0.0171798318624,0.0641162097454,-0.963795959949,-0.608608841896,1.05414974689,0.0206572134048,0.0930348336697,4.61834048338e-07,1.42042688722e-08
77,19.651711083623823,3.0,7,move_left,0.481833308935,-0.834554612637,-9.89217948914,0.258286833763,-0.0165692958981,0.061837721616,-0.963944733143,-0.641154229641,1.11052060127,0.0215039569885,0.0898495391011,-3.88727698919e-07,1.40028992845e-08
78,19.719156378407348,3.0,7,move_left,0.448329120874,-0.776523113251,-9.89107704163,0.258323997259,-0.0159799661487,0.0596382133663,-0.964083373547,-0.672544658184,1.16489076614,0.0214813016355,0.0868451297283,-1.27363932734e-07,1.23830146137e-08
79,19.70322350310512,3.0,7,move_left,0.415358573198,-0.719416201115,-9.89005947113,0.258356601,-0.0154436798766,0.0576367489994,-0.964205086231,-0.701058745384,1.21427893639,0.0208043772727,0.0835530981421,-4.0529312173e-07,1.11935181124e-08
80,19.559244733982773,4.0,7,move_left,0.378854542971,-0.656188845634,-9.88902854919,0.258388966322,-0.0148929841816,0.0555815137923,-0.964325726032,-0.730288922787,1.26490747929,0.0195175297558,0.0807662829757,3.67541929336e-07,8.82291484317e-09
81,19.708037702869063,4.0,7,move_left,0.340887159109,-0.590426921844,-9.8880777359,0.258419007063,-0.0143624208868,0.0536013990641,-0.964437782764,-0.758450329304,1.31368470192,0.0177588053048,0.0778834670782,-3.38502445629e-07,9.65416191434e-09
82,19.742918200389745,4.0,7,move_left,0.301510125399,-0.5222235322,-9.88722515106,0.258446961641,-0.0138505799696,0.0516911782324,-0.964542090893,-0.785574555397,1.36066555977,0.015638416633,0.0750666037202,-7.83247969594e-07,5.32791988306e-09
83,19.699244306466838,4.0,7,move_left,0.260775536299,-0.451668590307,-9.88648700714,0.258472979069,-0.0133568840101,0.0498486608267,-0.96463906765,-0.811693191528,1.40590465069,0.0132430484518,0.0724034979939,-7.71548513967e-08,5.39458611115e-09
84,19.523737263244133,4.0,7,move_left,0.218733862042,-0.378849744797,-9.88587665558,0.258497148752,-0.0128814252093,0.0480741523206,-0.964729130268,-0.83683848381,1.44945812225,0.0106519833207,0.0704559758306,-3.66238140259e-07,7.57309859267e-09
85,19.72722526632646,4.0,7,move_left,0.17543399334,-0.303851604462,-9.88540267944,0.258519649506,-0.0124223809689,0.046360950917,-0.964812994003,-0.861040174961,1.49137663841,0.00791955832392,0.0674177184701,-4.77407297694e-07,4.09383105193e-09
86,19.60633116124267,4.0,7,move_left,0.130923196673,-0.226756006479,-9.88506984711,0.258540511131,-0.01198000554,0.0447099581361,-0.964890837669,-0.884330391884,1.531717062,0.00511187966913,0.0653091445565,-4.44034753855e-07,5.74272940312e-09
87,19.676048937926893,4.0,7,move_left,0.0852472186089,-0.147642284632,-9.88488101959,0.258559942245,-0.0115537112579,0.0431189797819,-0.964963257313,-0.906738936901,1.57052993774,0.00227187154815,0.0630683973432,-1.59237529829e-08,1.88963156234e-09
88,19.745892455299558,4.0,5,hover,0.0385283827782,-0.066722266376,-9.88436985016,0.258814156055,0.00140564225148,-0.00524621177465,-0.965911924839,-0.92183816433,1.5966823101,-0.00160827441141,2.93981695175,-7.24295787791e-08,8.21487500247e-09
89,19.64296786823212,4.0,5,hover,-0.00811233371496,0.0140624195337,-9.88837528229,0.258405953646,0.0145983956754,-0.0544824525714,-0.964388370514,-0.901265382767,1.56104898453,-0.16373796761,1.16572880745,-2.27328271762e-07,5.60499247015e-09
